#,Repository,Severity,Category,Issue,Details
1,atoms3-rainbow,Critical,Hardware,Board mismatch,Uses esp32-s3-devkitc-1 instead of m5stack-atoms3
2,atoms3-rainbow,Critical,Config,Missing lib_compat_mode,M5Unified has no version pinning - could break on updates
3,droptransfer,Critical,File Handling,Directory traversal batch handling,readEntries only called once - may miss files in large directories
4,droptransfer,Critical,Memory,WebTorrent memory leak,activeTorrents array grows indefinitely
5,droptransfer,Critical,Data,Data queue not cleared on reset,Stale data remains for next transfer
6,lifelab,Critical,JavaScript,Missing futureHistory declaration,Creates implicit global variable
7,lifelab,Critical,JavaScript,Missing spacePanningOccurred declaration,Creates implicit global variable
8,QQSHI13.github.io,Critical,HTML,Favicon quote escaping,Unescaped quote in data URI across all 4 HTML files
9,QQSHI13.github.io,Critical,Links,Broken link to /nova/,May 404 - verify page exists
10,collaboard,Critical,Memory,Toast memory leak,DOM removed but timeout references linger
11,collaboard,Critical,Async,Pending broadcasts queue stall,If broadcast() throws before finally - queue stops permanently
12,QuickNotes,Critical,Resources,FileSystemWatcher never disposed,Causes memory leak when extension unloads
13,QuickNotes,Critical,Dead Code,EditorConfigurationPage UpdateQuery never called,Feature is broken - SDK doesn't call this method
14,M5Timer,Critical,RTC,RTC time calculation bug,Doesn't handle minute/hour/day changes across sleep cycles
15,M5Timer,Critical,Storage,Preferences namespace collision,Generic 'pomodoro' may conflict with other apps
16,tools-suite,Critical,Service Worker,SW path issues - all sub-tools 404,Only root has sw.js - sub-tools reference wrong path
17,nova-site,Critical,Service Worker,Missing manifest.json from SW cache,PWA installation may fail
18,atoms3-rainbow,High,Random,Missing randomSeed(),Pattern identical on every reboot
19,atoms3-rainbow,High,Hardware,Unused M5Unified library,Included but uses raw digitalRead() instead
20,atoms3-rainbow,High,Input,No button debouncing,Mechanical buttons cause multiple triggers
21,droptransfer,High,Validation,No validation of received file size,Corrupted transfers may pass check
22,droptransfer,High,Loops,Potential infinite loop in chunk resending,Fragile retry logic structure
23,droptransfer,High,Async,Missing await in zip creation,Race condition in createZipFromFiles
24,lifelab,High,Input,Keyboard 'S' shortcut conflicts,No check if user typing in input field
25,lifelab,High,UX,Toroidal mode hardcoded to true,No UI toggle - wrap-around may be unexpected
26,lifelab,High,Dead Code,stepForward() defined but never used,Redo functionality not properly implemented
27,QQSHI13.github.io,High,Performance,No debounce on search input,Fires on every keystroke - performance issues
28,QQSHI13.github.io,High,Security,External links without rel attributes,Missing noopener noreferrer on GitHub links
29,collaboard,High,Input,getCoordinates returns {x:0 y:0} fallback,Causes drawing at origin instead of null
30,collaboard,High,Sync,Undo/redo don't sync to peers,Canvas desync between users
31,QuickNotes,High,Code Quality,Duplicate methods,GetSyncedFileName IsDefaultTitle SanitizeFileName duplicated
32,QuickNotes,High,Async,Race condition in Settings cache,ClearCache may null between checks
33,M5Timer,High,Buffer,Buffer overflow in sync string parsing,Silently drops data at 255 chars
34,M5Timer,High,Validation,No validation on TimerMode enum cast,Undefined behavior if flash corrupted
35,M5Timer,High,Async,Race condition in button event handling,May lose events between check and return
36,tools-suite,High,API,Deprecated performance.navigation API,Used across multiple files - should use PerformanceNavigationTiming
37,flow,High,PWA,Missing manifest.json,PWA installation won't work properly
38,nova-site,High,API,Deprecated performance.navigation API,Should use PerformanceNavigationTiming instead
39,atoms3-rainbow,Medium,Watchdog,Missing yield() or vTaskDelay(),May trigger watchdog timer resets
40,atoms3-rainbow,Medium,Dead Code,Unused variable brightness,Set but never referenced
41,atoms3-rainbow,Medium,Magic Numbers,Magic numbers for thresholds,Hardcoded 500ms for long press threshold
42,droptransfer,Medium,Caching,Service Worker cache strategy issues,May serve stale content while updating
43,droptransfer,Medium,Code Quality,Duplicate localConnectionTimeout variable,Shadows outer variable - confusing code
44,droptransfer,Medium,Memory,No cleanup of chunkCache on transfer abort,Memory leak with large file chunks
45,droptransfer,Medium,Validation,Missing input sanitization on magnet link,Malformed links pass through validation
46,lifelab,Medium,Documentation,Inconsistent keyboard shortcut documentation,Docs say Ctrl+Y for redo but calls step() instead
47,lifelab,Medium,Error Handling,Pattern library doesn't handle missing JSON files gracefully,Partial data may load inconsistently
48,lifelab,Medium,Validation,No validation of pattern coordinates,Out-of-bounds may cause issues
49,lifelab,Medium,Caching,Service worker caches schema.json which client never fetches,Unnecessary cache entry
50,lifelab,Medium,Reliability,Hard reload detection in SW may not work reliably,Checks headers not universally supported
51,QQSHI13.github.io,Medium,Code Quality,Search is case-sensitive for dataset,May break if HTML modified to have mixed case
52,QQSHI13.github.io,Medium,Accessibility,Missing aria-label on project cards,No accessible labels for screen readers
53,collaboard,Medium,Performance,sanitizeHtml used on color values,Unnecessary overhead - use regex/whitelist instead
54,collaboard,Medium,Reliability,sendCanvasState doesn't wait for acknowledgment,Partial state received on disconnect
55,collaboard,Medium,Async,isBroadcasting flag with queue max 100,Items only processed in finally block - may stall
56,collaboard,Medium,Cleanup,resizeCanvas debounced but not cancelled on unload,Timeout not cleared if page crashes
57,QuickNotes,Medium,Validation,Missing null check in CreateNewNoteCommand,Defensive coding could be improved
58,QuickNotes,Medium,Dead Code,ConfirmDeleteNoteCommand does nothing,Just returns GoBack - no actual functionality
59,QuickNotes,Medium,Dead Code,ConfigureEditorCommand non-functional,Shows info message instead of configuration
60,QuickNotes,Medium,Dead Code,DeleteConfirmationPage defined but unused,Class exists but never instantiated
61,QuickNotes,Medium,Error Handling,Inconsistent exception handling,Some catch all some propagate - inconsistent pattern
62,M5Timer,Medium,UX,LED state not saved/restored,User confusion on restart about actual timer state
63,M5Timer,Medium,Audio,Inconsistent buzzer volume application,Only changes on next tone in queue
64,M5Timer,Medium,Code Quality,Missing include guard in config.h,Bad practice - should use pragma once
65,M5Timer,Medium,Dead Code,Unused variable lastRTC,Assigned but never used
66,tools-suite,Medium,Dependencies,Missing error handling in diff-viewer,escapeHtml relies on utils.js loading
67,tools-suite,Medium,Code Quality,Inconsistent escapeHtml implementation,api-tester defines its own instead of using Utils
68,tools-suite,Medium,Assets,Missing favicon files - references cause 404s,Files referenced don't exist in repository
69,tools-suite,Medium,Security,Potential XSS in jwt-decoder,Regex-based HTML replacement may not escape properly
70,flow,Medium,Styling,CSS custom property --ring-bg used inconsistently,Hardcoded in HTML - doesn't adapt to light theme
71,flow,Medium,Logic,Redundant timer completion logic,Duplicated in loadState and resumeFromLoadedState
72,flow,Medium,State,remainingAtStart not updated after mode switch,Incorrect timing data on page refresh after completion
73,flow,Medium,Memory,Missing cleanup for clockInterval on page unload,Minor memory leak on navigation
74,nova-site,Medium,Error Handling,Missing error handling for caches.open(),Unhandled promise rejection if cache fails
75,atoms3-rainbow,Low,Power,No power management,No sleep modes for battery operation
76,atoms3-rainbow,Low,Power,LED always at full brightness,Could save power with lower brightness
77,atoms3-rainbow,Low,Timing,Missing Serial flush,May not complete before LED test begins
78,atoms3-rainbow,Low,Performance,FastLED show() called too frequently in breathingEffect,No timing control - excessive CPU usage
79,atoms3-rainbow,Low,Code Quality,Inconsistent array size,numColors defined but uses literal 8 in modulo
80,droptransfer,Low,UX,Inconsistent error message formatting,Some technical some user-friendly - should standardize
81,droptransfer,Low,Compatibility,Missing feature detection for webkitdirectory,Firefox and Safari may have limited support
82,droptransfer,Low,Performance,No debouncing on drag events,Rapid firing during drag operations
83,droptransfer,Low,Assets,Service Worker push handler references non-existent icons,Will cause 404s if push notifications used
84,droptransfer,Low,Security,Hard-coded salt in key derivation,'DropTransferSalt2024' reduces entropy
85,droptransfer,Low,Dead Code,Unused variable connectionTimeout,Declared but never assigned a value
86,droptransfer,Low,Style,Inconsistent semicolon usage,Mix of semicolon and no-semicolon styles
87,lifelab,Low,Content,Missing loaf and boat patterns mentioned in README,Only Block and Beehive exist in file
88,lifelab,Low,Input,Touch event handlers don't check for changed touches,Only touches[0] used - multi-touch issues
89,lifelab,Low,Math,Density calculation uses viewport size not actual grid,Incorrect density calculation
90,lifelab,Low,Performance,No debouncing on window resize,Multiple expensive canvas resizes
91,lifelab,Low,Content,Missing seeds category patterns in fallback,FALLBACK_PATTERNS has no seeds category
92,lifelab,Low,Logic,Rule change doesn't validate pattern compatibility,Invalid patterns remain on grid when rule changes
93,QQSHI13.github.io,Low,Portability,Hardcoded paths in 404.html,Assumes site at root - not portable
94,QQSHI13.github.io,Low,Accessibility,Glitch animation without reduced motion support,Should respect prefers-reduced-motion
95,QQSHI13.github.io,Low,Resources,No cleanup on page unload in web-sync.html,Serial connection stays open if tab closed
96,QQSHI13.github.io,Low,Async,Race condition in readLoop,Async errors inside won't stop loop properly
97,QQSHI13.github.io,Low,Validation,Missing error handling in parseSettings,parseInt could return NaN - not handled
98,QQSHI13.github.io,Low,Timeout,No timeout for PING response,UI stays in waiting state forever if no response
99,QQSHI13.github.io,Low,Memory,Memory leak in log function,Unlimited DOM elements appended - no limit
100,QQSHI13.github.io,Low,Timing,Web Serial API check happens late,Should be earlier to fail fast
101,QQSHI13.github.io,Low,Forms,Missing autocomplete attributes,Browser may interfere with form inputs
102,QQSHI13,Low,License,License inconsistency,MIT License but USER.md states GPL-3.0 preference
103,QQSHI13,Low,Links,Wrong website link,Points to /nova instead of root homepage
104,QQSHI13,Low,Content,Copyright year mismatch,Says 2026 instead of 2025
105,QQSHI13,Low,Maintenance,Cache name versioning,Hardcoded - must manually bump version on updates
106,collaboard,Low,Validation,sanitizeCanvasDataUrl allows any base64 up to 10MB,No validation that data is actual image
107,collaboard,Low,Math,zoomLevel becomes non-linear,Floating point errors accumulate after multiple ops
108,collaboard,Low,Error Handling,handlePeerData has empty default case,Silently ignores unknown message types
109,collaboard,Low,UX,No haptic feedback on mobile,Touch events don't trigger vibration
110,collaboard,Low,UX,confirm() used for clear canvas,Blocks main thread - inconsistent with app design
111,collaboard,Low,Input,getCoordinates doesn't handle TouchList properly,Only uses touches[0] - ignores other fingers
112,collaboard,Low,Storage,localStorage used without quota check,May throw on Safari private mode
113,collaboard,Low,Validation,sanitizePeerId allows _ and -,Comment says limited special chars but allows these
114,collaboard,Low,Error Handling,Error message parsing fragile,Checks err.message.includes() - may vary by version
115,QuickNotes,Low,Magic Numbers,Magic numbers scattered,50 max filename length 10 max recent notes hardcoded
116,QuickNotes,Low,Style,Inconsistent use of this. prefix,Some places use it others don't - should standardize
117,QuickNotes,Low,Dead Code,Unused using directives,Several files may have unused imports
118,QuickNotes,Low,Dead Code,Commented-out code,SDK features that aren't available should be removed
119,QuickNotes,Low,Config,Solution file x86 configuration mismatch,Project only supports x64 and ARM64
120,M5Timer,Low,Input,No debouncing on button release,Noisy button could register multiple releases
121,M5Timer,Low,Magic Numbers,Magic numbers scattered throughout,Hardcoded instead of config.h constants
122,M5Timer,Low,UX,Web interface LED color mismatch,Legend says orange but code is red-orange
123,M5Timer,Low,Error Handling,Missing error handling for RTC initialization,No check if RTC present and responding
124,M5Timer,Low,Compatibility,Web Serial filter too restrictive,Only allows ESP32-S3 native USB VID
125,M5Timer,Low,Integrity,No CRC/checksum on settings,Corrupted flash could load invalid values
126,M5Timer,Low,Parsing,Inconsistent string parsing in fromString,indexOf case-sensitive - no malformed handling
127,tools-suite,Low,DOM,Inconsistent footer implementation,Some inside script tags at inconsistent positions
128,tools-suite,Low,CSS,Unused CSS classes,palette-section unnecessary grid-column setting
129,tools-suite,Low,PWA,Missing manifest.json in sub-tools,Only root has manifest
130,tools-suite,Low,Memory,Potential memory leak in life-pattern-generator,Event listeners not removed on grid re-init
131,tools-suite,Low,Code Quality,Inconsistent copyToClipboard usage,Some use Utils some use navigator directly
132,tools-suite,Low,Validation,Missing input validation in api-tester,Malformed URLs cause unhandled errors
133,flow,Low,Dead Code,handleVisibilityChange is empty,Misleading code - does nothing
134,flow,Low,Async,Potential race condition in notification permission,Duplicate prompts possible if both fire simultaneously
135,flow,Low,Mobile,Missing CSS sections for mobile,No explicit positioning for timer and controls
136,flow,Low,Compatibility,SW hard refresh detection may not work,Checks cache property not universally supported
137,flow,Low,Error Handling,Missing error handling for clients.claim,Unhandled promise rejection
138,flow,Low,Paths,time.html SW path hardcoded,Assumes /flow/ path - will 404 if deployed elsewhere
139,flow,Low,Dead Code,icon_blank CSS class defined but unused,Dead code - remove it
140,nova-site,Low,Security,CSP font source mismatch,Actually correct - disregard
141,nova-site,Low,Icons,Inconsistent icon emoji,Actually consistent - disregard
142,nova-site,Low,Maintenance,Service Worker cache name versioning,Hardcoded - must manually bump
143,nova-site,Low,Config,Missing scope in manifest.json,Should explicitly set scope
144,nova-site,Low,CSS,Redundant @font-face declaration,Unnecessary since Google Fonts already loaded with swap
